Timestamp,Data,Loss
1750949873,2025-06-26 11:57:53,0.0
1750950221,2025-06-26 12:03:41,0.0
1750950720,2025-06-26 12:12:00,0.0
1750951056,2025-06-26 12:17:36,0.0
1750951173,2025-06-26 12:19:33,0.0
1750951494,2025-06-26 12:24:54,0.0
1750951828,2025-06-26 12:30:28,0.0
1750952135,2025-06-26 12:35:35,0.0
1750952328,2025-06-26 12:38:48,0.0
1750952782,2025-06-26 12:46:22,0.0
1750953001,2025-06-26 12:50:01,0.0
1750953319,2025-06-26 12:55:19,0.0
1750955455,2025-06-26 13:30:55,0.0
1750955645,2025-06-26 13:34:05,0.0
1750955960,2025-06-26 13:39:20,0.0
1750956888,2025-06-26 13:54:48,0.0
1750957306,2025-06-26 14:01:46,0.0
1750957432,2025-06-26 14:03:52,0.0
1750957931,2025-06-26 14:12:11,0.0
1750957999,2025-06-26 14:13:19,0.0
1750958402,2025-06-26 14:20:02,0.0
1750958738,2025-06-26 14:25:38,0.0
1750959034,2025-06-26 14:30:34,0.0
1750959444,2025-06-26 14:37:24,0.0
1750959506,2025-06-26 14:38:26,0.0
1750959920,2025-06-26 14:45:20,0.0
1750960329,2025-06-26 14:52:09,0.0
1750960526,2025-06-26 14:55:26,0.0
1750960914,2025-06-26 15:01:54,0.0
1750961022,2025-06-26 15:03:42,0.0
1750961380,2025-06-26 15:09:40,0.0
1750961626,2025-06-26 15:13:46,0.0
1750962132,2025-06-26 15:22:12,0.0
1750962211,2025-06-26 15:23:31,0.0
1750962496,2025-06-26 15:28:16,0.0
1750963049,2025-06-26 15:37:29,0.0
1750963117,2025-06-26 15:38:37,0.0
1750963453,2025-06-26 15:44:13,0.0
1750963843,2025-06-26 15:50:43,0.0
1750964256,2025-06-26 15:57:36,0.0
1750964273,2025-06-26 15:57:53,0.0
1750964788,2025-06-26 16:06:28,0.0
1750965063,2025-06-26 16:11:03,0.0
1750965351,2025-06-26 16:15:51,0.0
1750965581,2025-06-26 16:19:41,0.0
1750965822,2025-06-26 16:23:42,0.0
1750966300,2025-06-26 16:31:40,0.0
1750966519,2025-06-26 16:35:19,0.0
1750966918,2025-06-26 16:41:58,0.0
1750967071,2025-06-26 16:44:31,0.0
1750967518,2025-06-26 16:51:58,0.0
1750967680,2025-06-26 16:54:40,0.0
1750968080,2025-06-26 17:01:20,0.0
1750968389,2025-06-26 17:06:29,0.0
1750968506,2025-06-26 17:08:26,0.0
1750969045,2025-06-26 17:17:25,0.0
1750969110,2025-06-26 17:18:30,0.0
1750969485,2025-06-26 17:24:45,0.0
1750969829,2025-06-26 17:30:29,0.0
1750970255,2025-06-26 17:37:35,0.0
1750970362,2025-06-26 17:39:22,0.0
1750970850,2025-06-26 17:47:30,0.0
1750970937,2025-06-26 17:48:57,0.0
1750971427,2025-06-26 17:57:07,0.0
1750971547,2025-06-26 17:59:07,0.0
1750971903,2025-06-26 18:05:03,0.1
1750972313,2025-06-26 18:11:53,0.0
1750972644,2025-06-26 18:17:24,0.0
1750972779,2025-06-26 18:19:39,0.1
1750972993,2025-06-26 18:23:13,0.0
1750973427,2025-06-26 18:30:27,0.1
1750973844,2025-06-26 18:37:24,0.0
1750974044,2025-06-26 18:40:44,0.0
1750974403,2025-06-26 18:46:43,0.0
1750974511,2025-06-26 18:48:31,0.0
1750975056,2025-06-26 18:57:36,0.1
1750975167,2025-06-26 18:59:27,0.0
1750975407,2025-06-26 19:03:27,0.0
1750975706,2025-06-26 19:08:26,0.2
1750976253,2025-06-26 19:17:33,0.1
1750976496,2025-06-26 19:21:36,0.1
1750976723,2025-06-26 19:25:23,0.0
1750977132,2025-06-26 19:32:12,0.0
1750977206,2025-06-26 19:33:26,0.0
1750977695,2025-06-26 19:41:35,0.2
1750978049,2025-06-26 19:47:29,0.1
1750978128,2025-06-26 19:48:48,0.0
1750978405,2025-06-26 19:53:25,0.2
1750978934,2025-06-26 20:02:14,0.0
1750979205,2025-06-26 20:06:45,0.0
1750979341,2025-06-26 20:09:01,0.0
1750979777,2025-06-26 20:16:17,0.0
1750979875,2025-06-26 20:17:55,0.0
1750980211,2025-06-26 20:23:31,0.1
1750980735,2025-06-26 20:32:15,0.1
1750980865,2025-06-26 20:34:25,0.1
1750981107,2025-06-26 20:38:27,0.1
1750981556,2025-06-26 20:45:56,0.0
1750981706,2025-06-26 20:48:26,0.0
1750982025,2025-06-26 20:53:45,0.1
1750982366,2025-06-26 20:59:26,0.0
1750982767,2025-06-26 21:06:07,0.0
1750983102,2025-06-26 21:11:42,0.0
1750983320,2025-06-26 21:15:20,0.0
1750983637,2025-06-26 21:20:37,0.1
1750984042,2025-06-26 21:27:22,0.0
1750984161,2025-06-26 21:29:21,0.1
1750984486,2025-06-26 21:34:46,0.0
1750984805,2025-06-26 21:40:05,0.0
1750985152,2025-06-26 21:45:52,0.0
1750985277,2025-06-26 21:47:57,0.0
1750985620,2025-06-26 21:53:40,0.0
1750986061,2025-06-26 22:01:01,0.0
1750986392,2025-06-26 22:06:32,0.1
1750986555,2025-06-26 22:09:15,0.0
1750986815,2025-06-26 22:13:35,0.0
1750987127,2025-06-26 22:18:47,0.0
1750987570,2025-06-26 22:26:10,0.0
1750987836,2025-06-26 22:30:36,0.0
1750988241,2025-06-26 22:37:21,0.0
1750988389,2025-06-26 22:39:49,0.0
1750988845,2025-06-26 22:47:25,0.0
1750989028,2025-06-26 22:50:28,0.0
1750989289,2025-06-26 22:54:49,0.0
1750989534,2025-06-26 22:58:54,0.0
1750989781,2025-06-26 23:03:01,0.0
1750990336,2025-06-26 23:12:16,0.0
1750990444,2025-06-26 23:14:04,0.0
1750990943,2025-06-26 23:22:23,0.0
1750991255,2025-06-26 23:27:35,0.0
1750991385,2025-06-26 23:29:45,0.0
1750991766,2025-06-26 23:36:06,0.0
1750991982,2025-06-26 23:39:42,0.0
1750992293,2025-06-26 23:44:53,0.0
1750992560,2025-06-26 23:49:20,0.0
1750992775,2025-06-26 23:52:55,0.0
1750993298,2025-06-27 00:01:38,0.0
1750993567,2025-06-27 00:06:07,0.0
1750993818,2025-06-27 00:10:18,0.0
1750994062,2025-06-27 00:14:22,0.0
1750994358,2025-06-27 00:19:18,0.0
1750994658,2025-06-27 00:24:18,0.0
1750995055,2025-06-27 00:30:55,0.0
1750995399,2025-06-27 00:36:39,0.0
1750995750,2025-06-27 00:42:30,0.0
1750995863,2025-06-27 00:44:23,0.0
1750996120,2025-06-27 00:48:40,0.0
1750996384,2025-06-27 00:53:04,0.0
1750996778,2025-06-27 00:59:38,0.0
1750997162,2025-06-27 01:06:02,0.0
1750997361,2025-06-27 01:09:21,0.0
1750997658,2025-06-27 01:14:18,0.0
1750998103,2025-06-27 01:21:43,0.0
1750998434,2025-06-27 01:27:14,0.0
1750998743,2025-06-27 01:32:23,0.0
1750998942,2025-06-27 01:35:42,0.0
1750999148,2025-06-27 01:39:08,0.0
1750999646,2025-06-27 01:47:26,0.0
1750999782,2025-06-27 01:49:42,0.0
1751000230,2025-06-27 01:57:10,0.0
1751000409,2025-06-27 02:00:09,0.0
1751000683,2025-06-27 02:04:43,0.0
1751000990,2025-06-27 02:09:50,0.0
1751001399,2025-06-27 02:16:39,0.0
1751001526,2025-06-27 02:18:46,0.0
1751001855,2025-06-27 02:24:15,0.0
1751002097,2025-06-27 02:28:17,0.0
1751002494,2025-06-27 02:34:54,0.0
1751002748,2025-06-27 02:39:08,0.0
1751002974,2025-06-27 02:42:54,0.0
1751003315,2025-06-27 02:48:35,0.0
1751003792,2025-06-27 02:56:32,0.0
1751004092,2025-06-27 03:01:32,0.0
1751004347,2025-06-27 03:05:47,0.0
1751004515,2025-06-27 03:08:35,0.0
1751004861,2025-06-27 03:14:21,0.0
1751005080,2025-06-27 03:18:00,0.0
1751005543,2025-06-27 03:25:43,0.0
1751005903,2025-06-27 03:31:43,0.0
1751006246,2025-06-27 03:37:26,0.0
1751006332,2025-06-27 03:38:52,0.0
1751006722,2025-06-27 03:45:22,0.0
1751006959,2025-06-27 03:49:19,0.0
1751007345,2025-06-27 03:55:45,0.0
1751007685,2025-06-27 04:01:25,0.0
1751007929,2025-06-27 04:05:29,0.0
1751008251,2025-06-27 04:10:51,0.0
1751008638,2025-06-27 04:17:18,0.0
1751008864,2025-06-27 04:21:04,0.0
1751009227,2025-06-27 04:27:07,0.0
1751009465,2025-06-27 04:31:05,0.0
1751009807,2025-06-27 04:36:47,0.0
1751010019,2025-06-27 04:40:19,0.0
1751010280,2025-06-27 04:44:40,0.0
1751010619,2025-06-27 04:50:19,0.0
1751011029,2025-06-27 04:57:09,0.0
1751011259,2025-06-27 05:00:59,0.0
1751011641,2025-06-27 05:07:21,0.0
1751011910,2025-06-27 05:11:50,0.0
1751012071,2025-06-27 05:14:31,0.0
1751012509,2025-06-27 05:21:49,0.0
1751012618,2025-06-27 05:23:38,0.0
1751013018,2025-06-27 05:30:18,0.0
1751013414,2025-06-27 05:36:54,0.0
1751013487,2025-06-27 05:38:07,0.0
1751014031,2025-06-27 05:47:11,0.0
1751014147,2025-06-27 05:49:07,0.0
1751014943,2025-06-27 06:02:23,0.0
1751015478,2025-06-27 06:11:18,0.0
1751015596,2025-06-27 06:13:16,0.0
1751016401,2025-06-27 06:26:41,0.0
1751016490,2025-06-27 06:28:10,0.0
