Timestamp,Data,Loss
1751153311,2025-06-28 20:28:31,1.0
1751153616,2025-06-28 20:33:36,1.0
1751153950,2025-06-28 20:39:10,1.0
1751154629,2025-06-28 20:50:29,1.0
1751154893,2025-06-28 20:54:53,1.0
1751155160,2025-06-28 20:59:20,1.0
1751155523,2025-06-28 21:05:23,1.0
1751155960,2025-06-28 21:12:40,1.0
1751156389,2025-06-28 21:19:49,1.0
1751156812,2025-06-28 21:26:52,1.0
1751157123,2025-06-28 21:32:03,1.0
1751157335,2025-06-28 21:35:35,1.0
1751157772,2025-06-28 21:42:52,1.0
1751158332,2025-06-28 21:52:12,1.0
1751158479,2025-06-28 21:54:39,1.0
1751159169,2025-06-28 22:06:09,1.0
1751159335,2025-06-28 22:08:55,1.0
1751159660,2025-06-28 22:14:20,1.0
1751160761,2025-06-28 22:32:41,1.0
1751161021,2025-06-28 22:37:01,1.0
1751161200,2025-06-28 22:40:00,1.0
1751161541,2025-06-28 22:45:41,1.0
1751161776,2025-06-28 22:49:36,1.0
1751162279,2025-06-28 22:57:59,1.0
1751162344,2025-06-28 22:59:04,1.0
1751162769,2025-06-28 23:06:09,1.0
1751162948,2025-06-28 23:09:08,1.0
1751163400,2025-06-28 23:16:40,1.0
1751163644,2025-06-28 23:20:44,1.0
1751164015,2025-06-28 23:26:55,1.0
1751164369,2025-06-28 23:32:49,1.0
1751164421,2025-06-28 23:33:41,1.0
1751164741,2025-06-28 23:39:01,1.0
1751165105,2025-06-28 23:45:05,1.0
1751165550,2025-06-28 23:52:30,1.0
1751165637,2025-06-28 23:53:57,1.0
1751166129,2025-06-29 00:02:09,1.0
1751166233,2025-06-29 00:03:53,1.0
1751166865,2025-06-29 00:14:25,1.0
1751167134,2025-06-29 00:18:54,1.0
1751167518,2025-06-29 00:25:18,1.0
1751167785,2025-06-29 00:29:45,1.0
1751168241,2025-06-29 00:37:21,1.0
1751168334,2025-06-29 00:38:54,1.0
1751168834,2025-06-29 00:47:14,1.0
1751169003,2025-06-29 00:50:03,1.0
1751169451,2025-06-29 00:57:31,1.0
1751169589,2025-06-29 00:59:49,1.0
1751170454,2025-06-29 01:14:14,1.0
1751170813,2025-06-29 01:20:13,1.0
1751171043,2025-06-29 01:24:03,1.0
1751171305,2025-06-29 01:28:25,1.0
1751171822,2025-06-29 01:37:02,1.0
1751172103,2025-06-29 01:41:43,1.0
1751172387,2025-06-29 01:46:27,1.0
1751172732,2025-06-29 01:52:12,1.0
1751173011,2025-06-29 01:56:51,1.0
1751173200,2025-06-29 02:00:00,1.0
1751173651,2025-06-29 02:07:31,1.0
1751173706,2025-06-29 02:08:26,1.0
1751174023,2025-06-29 02:13:43,1.0
1751174435,2025-06-29 02:20:35,1.0
