Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname,Estado_Origem_Viagem,Estado_Destino_Viagem,Estado_Deduzido
1752167309,2025-07-10 14:08:29,3,170.79.214.218,mxac-bac1.bkb.rnp.br,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br,AC,AM,
1752167309,2025-07-10 14:08:29,4,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,AC,AM,
1752167309,2025-07-10 14:08:29,5,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,AC,AM,
1752167309,2025-07-10 14:08:29,6,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br,AC,AM,
1752167309,2025-07-10 14:08:29,7,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,AC,AM,
1752167309,2025-07-10 14:08:29,8,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,AC,AM,
1752167309,2025-07-10 14:08:29,9,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.213.24,No-Hostname,AC,AM,
1752167309,2025-07-10 14:08:29,10,170.79.213.24,No-Hostname,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,AC,AM,
1752167309,2025-07-10 14:08:29,11,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname,AC,AM,AM
1752167309,2025-07-10 14:08:29,12,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br,AC,AM,AM
1752168258,2025-07-10 14:24:18,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname,AC,AM,AC
1752168258,2025-07-10 14:24:18,2,200.139.4.20,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br,AC,AM,AC
1752168258,2025-07-10 14:24:18,3,170.79.214.218,mxac-bac1.bkb.rnp.br,200.143.252.165,ro-ac-oi.bkb.rnp.br,AC,AM,
1752168258,2025-07-10 14:24:18,4,200.143.252.165,ro-ac-oi.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,AC,AM,
1752168258,2025-07-10 14:24:18,5,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,AC,AM,
1752168258,2025-07-10 14:24:18,6,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br,AC,AM,
1752168258,2025-07-10 14:24:18,7,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,AC,AM,
1752168258,2025-07-10 14:24:18,8,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,AC,AM,
1752168258,2025-07-10 14:24:18,9,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.213.24,No-Hostname,AC,AM,
1752168258,2025-07-10 14:24:18,10,170.79.213.24,No-Hostname,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,AC,AM,
1752168258,2025-07-10 14:24:18,11,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname,AC,AM,AM
1752168258,2025-07-10 14:24:18,12,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br,AC,AM,AM
1752168866,2025-07-10 14:34:26,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname,AC,AM,AC
1752168866,2025-07-10 14:34:26,2,200.139.4.20,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br,AC,AM,AC
1752168866,2025-07-10 14:34:26,3,170.79.214.218,mxac-bac1.bkb.rnp.br,200.143.252.165,ro-ac-oi.bkb.rnp.br,AC,AM,
1752168866,2025-07-10 14:34:26,4,200.143.252.165,ro-ac-oi.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,AC,AM,
1752168866,2025-07-10 14:34:26,5,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,AC,AM,
1752168866,2025-07-10 14:34:26,6,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br,AC,AM,
1752168866,2025-07-10 14:34:26,7,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,AC,AM,
1752168866,2025-07-10 14:34:26,8,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,AC,AM,
1752168866,2025-07-10 14:34:26,9,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.213.24,No-Hostname,AC,AM,
1752168866,2025-07-10 14:34:26,10,170.79.213.24,No-Hostname,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,AC,AM,
1752168866,2025-07-10 14:34:26,11,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname,AC,AM,AM
1752168866,2025-07-10 14:34:26,12,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br,AC,AM,AM
1752169507,2025-07-10 14:45:07,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname,AC,AM,AC
1752169507,2025-07-10 14:45:07,2,200.139.4.20,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br,AC,AM,AC
1752169507,2025-07-10 14:45:07,3,170.79.214.218,mxac-bac1.bkb.rnp.br,200.143.252.165,ro-ac-oi.bkb.rnp.br,AC,AM,
1752169507,2025-07-10 14:45:07,4,200.143.252.165,ro-ac-oi.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,AC,AM,
1752169507,2025-07-10 14:45:07,5,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,AC,AM,
1752169507,2025-07-10 14:45:07,6,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br,AC,AM,
1752169507,2025-07-10 14:45:07,7,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,AC,AM,
1752169507,2025-07-10 14:45:07,8,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,AC,AM,
1752169507,2025-07-10 14:45:07,9,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.213.24,No-Hostname,AC,AM,
1752169507,2025-07-10 14:45:07,10,170.79.213.24,No-Hostname,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,AC,AM,
1752169507,2025-07-10 14:45:07,11,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname,AC,AM,AM
1752169507,2025-07-10 14:45:07,12,200.129.156.126,No-Hostname,200.129.156.107,monipe-am-atraso.rnp.br,AC,AM,AM
1752170240,2025-07-10 14:57:20,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname,AC,AM,AC
1752170240,2025-07-10 14:57:20,2,200.139.4.20,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br,AC,AM,AC
1752170240,2025-07-10 14:57:20,3,170.79.214.218,mxac-bac1.bkb.rnp.br,200.143.252.165,ro-ac-oi.bkb.rnp.br,AC,AM,
1752170240,2025-07-10 14:57:20,4,200.143.252.165,ro-ac-oi.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,AC,AM,
1752170240,2025-07-10 14:57:20,5,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,AC,AM,
1752170240,2025-07-10 14:57:20,6,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br,AC,AM,
1752170240,2025-07-10 14:57:20,7,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,AC,AM,
1752170240,2025-07-10 14:57:20,8,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,AC,AM,
1752170240,2025-07-10 14:57:20,9,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.213.24,No-Hostname,AC,AM,
1752170240,2025-07-10 14:57:20,10,170.79.213.24,No-Hostname,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,AC,AM,
1752170240,2025-07-10 14:57:20,11,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,200.129.156.126,No-Hostname,AC,AM,AM
