Timestamp,Datetime,HopHostnames
1749440481,2025-06-09 00:41:21,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749442259,2025-06-09 01:10:59,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749442594,2025-06-09 01:16:34,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749443286,2025-06-09 01:28:06,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-aloha.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749443831,2025-06-09 01:37:11,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-aloha.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749444443,2025-06-09 01:47:23,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-aloha.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749445079,2025-06-09 01:57:59,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749447054,2025-06-09 02:30:54,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749447868,2025-06-09 02:44:28,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749448558,2025-06-09 02:55:58,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749449418,2025-06-09 03:10:18,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749450077,2025-06-09 03:21:17,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749450662,2025-06-09 03:31:02,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749450989,2025-06-09 03:36:29,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749451819,2025-06-09 03:50:19,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749452262,2025-06-09 03:57:42,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749453113,2025-06-09 04:11:53,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749453339,2025-06-09 04:15:39,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749454255,2025-06-09 04:30:55,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749454648,2025-06-09 04:37:28,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749455668,2025-06-09 04:54:28,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749456342,2025-06-09 05:05:42,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749458400,2025-06-09 05:40:00,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749458661,2025-06-09 05:44:21,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749459837,2025-06-09 06:03:57,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749460504,2025-06-09 06:15:04,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749461049,2025-06-09 06:24:09,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749462095,2025-06-09 06:41:35,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749462237,2025-06-09 06:43:57,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749462914,2025-06-09 06:55:14,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749463506,2025-06-09 07:05:06,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749464207,2025-06-09 07:16:47,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749465065,2025-06-09 07:31:05,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-aloha.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749465218,2025-06-09 07:33:38,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-aloha.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749465843,2025-06-09 07:44:03,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-aloha.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749466825,2025-06-09 08:00:25,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749467503,2025-06-09 08:11:43,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749467704,2025-06-09 08:15:04,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749468561,2025-06-09 08:29:21,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
1749469069,2025-06-09 08:37:49,gw.pop-to.rnp.br;swc-2.pop-to.rnp.br;No-Hostname;cto1-bto1.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cce2-cdf2-tlbrs.bkb.rnp.br;crn1-cce2-chesf.bkb.rnp.br;No-Hostname;No-Hostname;monipe-rn-atraso.rnp.br
