Timestamp,Datetime,HopHostnames
1751385723,2025-07-01 13:02:03,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751386571,2025-07-01 13:16:11,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751386787,2025-07-01 13:19:47,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751387719,2025-07-01 13:35:19,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cto1-cdf2-tlb.bkb.rnp.br;cpa1-cto1-tlb.bkb.rnp.br;No-Hostname;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751388248,2025-07-01 13:44:08,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cto1-cdf2-tlb.bkb.rnp.br;cpa1-cto1-tlb.bkb.rnp.br;No-Hostname;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751388639,2025-07-01 13:50:39,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751389168,2025-07-01 13:59:28,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751390046,2025-07-01 14:14:06,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751390569,2025-07-01 14:22:49,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751390944,2025-07-01 14:29:04,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;mxam-cdf1-3g-sitelbra.bkb.rnp.br;cap1-mxam-tlb.bkb.rnp.br;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751391711,2025-07-01 14:41:51,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cto1-cdf2-aloha.bkb.rnp.br;cpa1-cto1-tlb.bkb.rnp.br;No-Hostname;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
1751392182,2025-07-01 14:49:42,gateway;No-Hostname;cdf2-bdf2.bkb.rnp.br;cto1-cdf2-aloha.bkb.rnp.br;cpa1-cto1-tlb.bkb.rnp.br;No-Hostname;popap-cap1.bkb.rnp.br;monipe-ap-atraso.rnp.br
