Timestamp,Datetime,HopHostnames
1749867036,2025-06-13 23:10:36,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr2-crs1-brdigital.bkb.rnp.br;csp2-cpr2-100g-brdigital.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749867416,2025-06-13 23:16:56,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr2-crs1-brdigital.bkb.rnp.br;csp2-cpr2-100g-brdigital.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749868070,2025-06-13 23:27:50,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr2-crs1-brdigital.bkb.rnp.br;csp2-cpr2-100g-brdigital.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749868538,2025-06-13 23:35:38,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr2-crs1-brdigital.bkb.rnp.br;csp2-cpr2-100g-brdigital.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749869002,2025-06-13 23:43:22,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr2-crs1-brdigital.bkb.rnp.br;csp2-cpr2-100g-brdigital.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749869571,2025-06-13 23:52:51,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr1-crs1-eltsul.bkb.rnp.br;csp2-cpr1-tlb.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749870434,2025-06-14 00:07:14,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr1-crs1-eltsul.bkb.rnp.br;csp2-cpr1-tlb.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749870723,2025-06-14 00:12:03,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr1-crs1-eltsul.bkb.rnp.br;csp2-cpr1-tlb.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749871494,2025-06-14 00:24:54,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr2-crs1-brdigital.bkb.rnp.br;csp2-cpr2-100g-brdigital.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1749872046,2025-06-14 00:34:06,gw-core1.colo.tche.br;crs1-brs1.bkb.rnp.br;cpr2-crs1-brdigital.bkb.rnp.br;csp2-cpr2-100g-brdigital.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;lanmg2-cmg2.bkb.rnp.br;ptp-couve-almeirao.pop-mg.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
